name,country,latitude,longitude,genre,subgenres,Status
Nataraja Festival,França,3.7616,46.0201,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Nature Frequencies,Alemanha,11.4979,48.7904,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Alien Safari,Africa do Sul, 24.284814,-31.388542,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Indian Spirit,Alemanha,11.4153,53.2623,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Antaris Project,Alemanha,12.3821,52.7388,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Shankra Festival,Suíça,9.1011,46.3439,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Vuuv Festival,Alemanha,12.1538,52.8625,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Envision Festival,Costa Rica, -83.312888 ,10.446698,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Lucidity Festival,EUA, -119.6982 ,34.4208,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Eclipse Festival,Canada, -71.208 ,46.8139,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Jacundá Trance Festival,Brasil, -60.145092,-2.548959,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Mundo de Oz,Brasil, -45.170907 ,-23.100547,psytrance - multigenre,"fullon, prog, night, forest",Ativo
High Stage,Brasil, -45.20952,-23.08043,Hitech Psytrance,"hitech, darkpsy, core",Ativo
Hitech Revolution,Brasil, -45.178715, -23.078685,psytrance - multigenre,"hitech, darkpsy, core",Ativo
Swampy Festival,Brasil, -44.845167 ,-21.060319,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Universo Paralello,Brasil, -38.92635 ,-13.512251,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Undervision Festival,Brasil, -52.07779 ,-28.78656,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Earthdance Festival,Brasil, -50.550707, -30.023123,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Zion Festival,Brasil, -53.588792 ,-30.93924,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Festival Terrazul,Brasil, -48.775212 ,-27.256784,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Elementorum Naturae,Brasil, -53.268706 ,-23.761119,hitech psytrance,"fullon, prog, night, forest",Ativo
Zuvuya Festival,Brasil, -47.911257, -15.710742,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Hipnótica Crew,Brasil, -49.279106 ,-16.542452,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Happiness Festival,Brasil, -47.384999 ,-5.892661,psytrance - multigenre,"fullon, prog, night, forest",Intivo
Inchalla Festival,Uruguai, -54.209206 ,-34.458919,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Arkana Festival,Peru, -71.948714 ,-13.454688,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Psycristrance Festival,Mexico, -92.866588 ,17.466728,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Winter Solstice Gathering,Mexico, -92.45536 ,16.280933,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Totem,Bolivia, -68.007017, -16.575838,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Hybrid Festival,Chile, -72.88202 ,-36.712002,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Forest Festival,Equador, -78.122396, 0.572869,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Chakra Psy Festival,Argentina, -58.172867 ,-34.17276,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Montemapu Festival,Chile, -71.020313 ,-32.814198,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Fractal Research,Argentina, -61.16462, -32.88964,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Ganesha Trance,Argentina, -71.213113, -41.4750978,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Earthdance Argentina,Argentina, -64.190227, -31.567992,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Origens Gathering,Brasil, -50.024575 ,-29.605478,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Terra Oca,Brasil, -63.898045 ,-9.094822,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Liquid Sky,Brasil, -35.202517 ,-8.359513,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Naturaiz,Brasil, -45.204391 ,-23.098494,psytrance - multigenre,"Darkpsy, Hitech, Core, ",Ativo
Nighters Unity,Argentina, -58.872331 ,-35.160846,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Pachamama Festival,Brasil, -46.392073 ,-23.245285,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Abrakadabra,Argentina, -58.888094 ,-34.308013,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Jardim de Oz,Bolívia, -65.160572,-13.721316,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Adhana Festival,Brasil, -48.822487 ,-25.47658,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Eclipse Festival,Canada,    -105.595987 ,49.538639,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Amazonas Andes Festival,Bolívia, -62.77641, -17.065202,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Ritual Xalpen,Chile, -71.154979, -34.371561,psytrance - multigenre,"hitech, darkpsy, core",Ativo
Fractal Festival,Namibia, 15.177458 ,-21.845339,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Hypnophonia,Marrocos, -7.578707 ,32.692806,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Xylophobia,Marrocos, -6.826367 ,33.170747,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Transahara Festival,Marrocos, -3.40015 ,31.457302,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Karacus Maracus,india, 74.064123, 14.986373,psytrance - multigenre,"hitech, darkpsy, core",Ativo
Silvester Magica,india, 77.439124 ,31.712368,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Maya Gathering,Nepal, 85.971816 ,28.30698,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Maya Mantra,Nepal, 84.993448 ,27.367647,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Arzeia Festival,Tunisia, 9.829413,37.284509,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Boom Festival,Portugal, -7.45194 ,39.784492,psytrance - multigenre,"fullon, prog, night, forest",Ativo
ZNA Gathering,Portugal, -8.179916 ,39.070486,psytrance - multigenre,"Goa, Prog, Night, Forest",Ativo
Global Tribe,Espanha, -6.448378 ,37.319755,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Multiverse Festival,Chile, -71.481953 ,-33.04224,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Quantum Fest,Chile, -70.348073, -33.845702,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Makuna Festival,Brasil, -47.848644, -21.104368,Darkpsy,"hitech, darkpsy, core",Ativo
Aluna Ritual,Colombia, -73.5259 ,11.209893,Darkpsy,"hitech, darkpsy, core",Ativo
Mo.dem Festival,Croacia, 15.471648 ,45.216951,Darkpsy,"hitech, darkpsy, core",Ativo
Uforest Festival,EUA, -118.324689 ,34.528943,Darkpsy,"hitech, darkpsy, core",Ativo
Heaven on Earth Festival,EUA, -121.115488, 39.449545,Darkpsy,"hitech, darkpsy, core",Ativo
Huytaca Ritual,Venezuela, -66.753783 ,10.044612,psytrance - multigenre,"fullon, prog, night, forest",Ativo
OVNI Invasión,Guatemala, -89.979085 ,15.638839,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Cosmic Convergence,Guatemala, -90.627401 ,14.560312,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Texas Eclipse,EUA, -98.841636 ,30.548318,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Sola Luna Festival,Tailandia, 99.80451 ,9.111928,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Trance Portal Festival,Mexico, -104.822274 ,23.916436,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Equinox Festival,Mexico, -96.269526,19.23673,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Atmosphere Festival,Mexico, -98.994863 ,18.916937,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Limitless Festival,Canada, -72.370865 ,47.013977,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Mind Levitation,Canada, -79.38973 ,45.07101,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Tree of Life Festival,Turquia, 27.217006 ,38.557962,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Hill Top Goa,india, 73.635303 ,15.415892,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Shuangda Festival,China, 121.508543 ,30.033724,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Ligoor Spirit Festival,China, 104.063824 ,30.849691,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Ananta Gathering,Canada, -85.192186 ,51.953908,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Sacred Aeon Festival,Cambodia, 102.947911 ,11.122385,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Lost in Paradise,Nova Zelândia, 174.320699 ,-35.725995,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Invoke Festival,Inglaterra, -0.249981 ,53.167294,Darkpsy,"hitech, darkpsy, core",Ativo
Pyramid Festival,Servia, 21.940234 ,43.557516,Darkpsy,"hitech, darkpsy, core",Ativo
Pulsar Festival,Brasil, -43.427707 ,-19.612239,Darkpsy,"hitech, darkpsy, core",Ativo
Insomnia Festival,Portugal, -7.800269 ,40.337772,Darkpsy,"hitech, darkpsy, core",Ativo
Terra Incógnita,Brasil, -51.84757 ,-31.156741,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Psychedelic Resistance,Argentina, -59.05887 ,-34.792092,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Ethereal Decibel Festival,Franca, -0.999927 ,48.536211,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Hadra Trance Festival,Franca, 5.703492 ,45.188742,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Free Earth Festival,Grecia, 23.709953 ,40.720365,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Tribe Gathering,Panamá, -80.392383, 9.100921,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Midnight Sun Festival,Noruega, 7.196158, 58.337636,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Xibalba,Japao, 135.213746 ,35.059651,Darkpsy,"hitech, darkpsy, core",Ativo
Forest Soul Gathering,Portugal, -7.831288 ,41.732198,psytrance - multigenre,"forest, darkpsy, night",Ativo
Trance Odissey,Portugal, -8.811818 ,39.249052,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Mumush Festival,Romênia, 24.803299 ,46.492779,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Mimosa Festival,Chile, -70.906146 ,-33.51225,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Grooven Bass Festival,Canada, -74.014819 ,48.375358,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Kali Mela,india, 76.983855, 32.063376,Darkpsy,"hitech, darkpsy, core",Ativo
Ozora Festival,Hungria, 18.410091 ,46.779312,psytrance - multigenre,"fullon, prog, night, forest",Ativo
Rainbow,Austrália, 145.374314, -32.276796,psytrance - multigenre,"fullon, prog, night, forest",Inativo
Universal Frequencies,Austrália, 121.995408 ,-31.979072,psytrance - multigenre,"fullon, prog, night, forest",Ativo
